,tensile strength,DemlData std_dev atom_mass,DemlData std_dev row_num,DemlData avg_dev row_num,DemlData std_dev col_num,DemlData avg_dev col_num,DemlData mean atom_radius,DemlData std_dev atom_radius,DemlData avg_dev atom_radius,DemlData std_dev molar_vol,DemlData avg_dev molar_vol,DemlData std_dev melting_point,DemlData avg_dev melting_point,DemlData mean boiling_point,DemlData std_dev boiling_point,DemlData avg_dev boiling_point,DemlData std_dev heat_cap,DemlData avg_dev heat_cap,DemlData mean first_ioniz,DemlData avg_dev first_ioniz,DemlData mean electronegativity
0,2473.5,8.024825157852513,0.21416394722111723,0.034913031749309084,1.4882930808188761,0.8084787722634963,138.25283863649454,4.670144308334884,2.4715189496210943,0.9029650832790321,0.29214983149463347,228.1518216255175,49.366385635873506,3192.593287826621,325.4416222335738,78.72005350233161,1.018992560984894,0.33566388894201254,753712.3831267318,13549.828515906158,1.8529584895909994
1,1929.2,17.574526236053565,0.40012595223373365,0.06453100425920369,1.5486564214162386,0.683491342561118,138.34800996778924,9.882310707313337,2.78386607502086,0.7202834152025689,0.19717991250755496,421.7032358353213,177.55471377168826,3177.4948765303375,507.0642612816632,133.80132508758746,2.461191328839105,0.7120051930872037,747715.9365606128,31456.821223155584,1.831064827136471
2,1871.8,5.755369421649207,0.1525366233608977,0.016587682214547185,1.5256617464844313,0.751967194799386,138.5905043441797,3.4330254435144996,2.1078486236275524,0.6503199483257934,0.21536296009264078,213.01251316119894,77.84048654380155,3140.3453084699704,196.76981860920293,50.525146372009075,0.8701528474571234,0.38785714501212826,746092.3613739724,24310.6489973778,1.8288146715396807
3,2514.9,8.93517945007721,0.23107814502394652,0.04664859545997729,1.4735357469933972,0.7741203635175898,138.4166479133148,4.272734132344396,2.3797808791771113,0.9247103512477668,0.2858545330570573,249.01757733343763,57.74088237008614,3201.6989369075873,373.9339520597877,95.1225447972827,0.8547399317113882,0.30808401093164267,753726.9257374271,13466.174753593477,1.8534756406717028
4,2315.0,6.221459685840501,0.162828042400001,0.017253331995028695,1.4582421996715496,0.7822260313523803,138.2782076673745,4.176560239123798,2.372021105117349,0.858095461933886,0.2728853389312868,172.2291688059467,41.10335242854112,3175.804463931973,241.60964028236214,56.20547422625367,0.8483049228189418,0.32281479124467455,754458.2949292627,12319.461560030364,1.8493506657138898
5,1779.5,9.335081476169712,0.3236249175811388,0.05524206783313083,1.6606452371829046,0.6312410272629262,138.14611597035298,9.97010606089594,3.0139950887265607,0.8296195440802666,0.19816455630863944,340.9581004987093,138.04107248773465,3152.057429644239,315.2787879984366,79.85592035567213,2.590284128783112,0.7644705895777041,749143.2543798123,27914.280932689027,1.8278221937128938
6,2570.0,8.602296238621006,0.21414415345650237,0.04235657680398388,1.5739466849223644,0.7839136000594888,138.52590682724187,3.7121667236135134,2.2599671980382756,1.0256267050370538,0.31274038139609106,233.12950700571528,53.51202574276612,3200.2143562092583,362.2305147524597,93.3355426132967,0.6424010589116151,0.3076388599231319,752801.2120376,14481.982996737812,1.8491177509569916
7,1795.6,13.724315179957918,0.3854221518943437,0.10302028777238724,1.544817386394357,0.7013828201325143,138.97198818700164,8.242915444030205,2.262987984505267,0.9395204609883229,0.30773983361795126,414.68346826898323,193.54293945618375,3211.5336192665463,588.2894718735864,192.40251363752873,2.008854166752387,0.6433699858447709,744999.2011413325,31934.845087796188,1.8350181468771343
8,1419.3,7.905858183577452,0.27254957275020864,0.07704643142566932,2.100155135508956,0.7651429744461853,138.15923072854272,8.323424465173032,3.063845132491109,1.3483874204877042,0.3791844956621732,216.8582279176502,116.39364374717853,3109.800015538373,122.94800473611515,61.21469809003581,1.7005700179494376,0.8251875842367097,742591.5995495269,33381.332782058365,1.8086069538519316
9,2008.4,11.37523187259681,0.35728904686301655,0.057218543820564335,1.5699412569324838,0.7119559070822664,138.6771561678315,9.821271654580313,2.4978430033670413,0.761064054030185,0.20880658044921332,396.94681233483254,174.7894934196018,3170.293952617332,488.6988005208703,131.793877463506,2.389368398285931,0.7115102965617752,745579.909629385,34124.40635429109,1.8266660929580045
