,tensile strength,PymatgenData mean X,PymatgenData std_dev X,PymatgenData std_dev row,PymatgenData avg_dev group,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData avg_dev atomic_radius,PymatgenData mean velocity_of_sound,PymatgenData std_dev velocity_of_sound,PymatgenData avg_dev velocity_of_sound,PymatgenData mean thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,PymatgenData avg_dev melting_point,PymatgenData mean average_ionic_radius,PymatgenData std_dev average_ionic_radius,PymatgenData avg_dev average_ionic_radius
0,2473.5,1.8529584895909994,0.09704239465503382,0.21416394722111723,0.8084787722634963,57.23973123478188,8.021775266445133,1.3825283863649453,0.046701443083348775,0.024715189496210883,4912.822209440736,636.7834653588096,94.18233488840212,85.57539305735989,1809.2535565951398,228.1518216255175,49.366385635873506,0.8157174883393382,0.07003094568367016,0.046965598596854424
1,1929.2,1.831064827136471,0.16878513375934998,0.40012595223373365,0.683491342561118,57.015425146982885,17.573095043531367,1.3834800996778922,0.09882310707313334,0.02783866075020862,5155.639624312564,1757.2527498463182,493.3479773579161,87.7984398228482,1905.6370913078897,421.7032358353213,177.55471377168826,0.8418094201242458,0.0975430469000338,0.042196067202724535
2,1871.8,1.8288146715396807,0.09726420093216903,0.1525366233608977,0.751967194799386,56.16069515115401,5.754196625716798,1.385905043441797,0.03433025443514491,0.021078486236275402,4990.986829417023,444.2737512566162,191.02927544567788,86.52492751697937,1828.1560567636277,213.01251316119894,77.84048654380155,0.8331489411036944,0.07541858991307472,0.044453227358812006
3,2514.9,1.8534756406717028,0.09973611260420086,0.23107814502394652,0.7741203635175898,57.47112077093137,8.931433347097114,1.384166479133148,0.042727341323443864,0.023797808791770982,4913.724523750749,523.5087850704659,94.37760183775933,85.69012251533931,1816.7509904421445,249.01757733343763,57.74088237008614,0.8176939889578531,0.067884766910714,0.04538557742870687
4,2315.0,1.8493506657138898,0.08729282514476074,0.162828042400001,0.7822260313523803,56.89612483700895,6.219456367118933,1.3827820766737446,0.041765602391237895,0.023720211051173484,4895.024296412028,479.76290822057825,83.88205502392337,84.86896937094123,1799.3284920504925,172.2291688059467,41.10335242854112,0.8173785467725013,0.06905387527326728,0.04596223137416289
5,1779.5,1.8278221937128938,0.138107988453052,0.3236249175811388,0.6312410272629262,55.72235676397173,9.333268622549554,1.3814611597035296,0.09970106060895935,0.030139950887265655,5120.008143143475,1816.0331925169532,478.51533898386344,87.73774721684343,1880.0268727731252,340.9581004987093,138.04107248773465,0.8383790773168992,0.10546219879159378,0.04536126858918936
6,2570.0,1.8491177509569916,0.10450335170785326,0.21414415345650237,0.7839136000594888,57.29132966021609,8.598691788786638,1.3852590682724188,0.03712166723613503,0.022599671980382607,4901.274510794549,345.86828286384605,92.44041548090249,84.56822014622965,1815.5256281059146,233.12950700571528,53.51202574276612,0.8194381904443003,0.06642336894532333,0.04436340704499254
7,1795.6,1.8350181468771343,0.16270608581264603,0.3854221518943437,0.7013828201325143,57.5210760069209,13.718769540356949,1.389719881870016,0.08242915444030201,0.022629879845052842,5138.043827556308,1430.14169042717,455.6751837594691,88.23037047837605,1917.6791829459464,414.68346826898323,193.54293945618375,0.8419947440552022,0.09181474905769947,0.04004166153898675
8,1419.3,1.8086069538519316,0.10392632906609242,0.27254957275020864,0.7651429744461853,54.42566942299189,7.905835913149896,1.381592307285427,0.08323424465173025,0.030638451324911133,4980.148971402694,1024.2938310761763,363.8325787784586,87.73838817075851,1868.0617041895712,216.8582279176502,116.39364374717853,0.8446858373928249,0.10864360386393877,0.04501536932766999
9,2008.4,1.8266660929580045,0.1688550374635644,0.35728904686301655,0.7119559070822664,56.38518266278151,11.371464779809816,1.3867715616783147,0.0982127165458031,0.024978430033670507,5170.748237771005,1708.7911176424725,499.7814038361929,87.05707079588225,1906.8097496936778,396.94681233483254,174.7894934196018,0.846311948034596,0.09571814327761687,0.03762789413008145
10,2475.8,1.8507891120802848,0.10309044830448479,0.2209983213364644,0.7704779469548445,57.320507257279154,8.652670217567877,1.385077590212916,0.04235654710391172,0.022889093446165142,4910.895475686739,528.1468718478187,89.74584426170512,84.7397128630624,1816.5450897831674,239.75231775612852,54.18701481735039,0.819418649650996,0.06838336921615275,0.04448335126672027
11,2397.7,1.8511502815070593,0.09817866288814245,0.21268969676200158,0.7635913531804738,57.333943845366726,8.490108308630402,1.3852573293461967,0.037325912800657855,0.022546309903771763,4906.240567019136,334.3383240952081,82.4998832620614,84.93532818272004,1814.0931247508752,231.39971554260399,50.46507285923152,0.8195192586909054,0.0670132971905052,0.04431415303456561
