,tensile strength,MagpieData mean Number,MagpieData std_dev Number,MagpieData avg_dev Number,MagpieData avg_dev MendeleevNumber,MagpieData mean AtomicWeight,MagpieData std_dev AtomicWeight,MagpieData std_dev MeltingT,MagpieData avg_dev MeltingT,MagpieData avg_dev Row,MagpieData std_dev CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData avg_dev Density,MagpieData mean NsValence,MagpieData std_dev NValence,MagpieData avg_dev NpUnfilled,MagpieData std_dev NdUnfilled,MagpieData avg_dev NUnfilled,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData avg_dev GSenergy_pa,MagpieData mean SpaceGroupNumber,MagpieData std_dev SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber
0,2473.5,26.664768709322345,3.3782561380413583,1.152116232529968,2.4375560658639803,57.24008321450784,8.024825157852513,228.49700834648016,49.38140810843287,0.034913031749309084,8.679427664992271,3.9399107507766327,567.6691241635062,1.9822294235852012,1.4906914462222158,0.04733608721210338,1.4069411652868307,0.778513225493503,0.005072855803505718,0.010125695270951756,0.9716401758540516,222.42051197851,17.087631007405466,9.409624115893395
1,1929.2,26.30074418358095,6.889092109252305,1.5228171047688621,2.0138017572215654,57.01578321125542,17.574526236053565,423.3019585016709,177.8745528492558,0.06453100425920369,10.794863597386643,3.4938303422051735,580.2367434698607,1.835008984112648,1.95008029304879,0.08720033894706529,1.0467408060004952,0.6609886696351783,0.04905387417041359,0.09708989396242688,0.5268953245667619,222.05738139996126,18.738841681364093,11.123311113736788
2,1871.8,26.145400179096878,2.575068509317865,0.8583723194991346,2.2903494372715514,56.160791181653295,5.755369421649207,213.01251316119894,77.84048654380155,0.016587682214547185,6.701615315029975,3.3164405745724017,483.40877056187037,1.9015083190421278,1.5392874322937,0.08213697183937572,1.2605617128068751,0.6978725406435815,0.00015464911655941926,0.00030923635381934926,0.8713078721612615,223.5940290636306,15.889389299352223,8.212745331516144
3,2514.9,26.74329764876495,3.6988986545193425,1.2354785980020062,2.3277235284941464,57.471595066464914,8.93517945007721,249.17911202786166,57.7619580246282,0.04664859545997729,8.809136992279292,3.828545649258624,563.7740097400657,1.9761122155214914,1.4747935467510376,0.03953915993749253,1.3827668056719442,0.7481566605558603,0.0029393795273835134,0.005869947183025706,0.9355700011358588,222.54184992668934,17.25161602226197,9.37781939883338
4,2315.0,26.526613255959216,2.699628358968836,0.9582194036684942,2.360987582518321,56.89629683284666,6.221459685840501,172.4652962529674,41.110684061157784,0.017253331995028695,8.081820140471633,3.726511752737566,536.3289233500864,1.9912300122337039,1.4624326377179853,0.039105172741137784,1.404096647579347,0.7576527755619512,0.0029117635353224456,0.005814885165606158,0.9442649132903083,222.52837061343124,17.269921494338973,9.29856203733813
5,1779.5,25.819861676468417,4.005149276275691,1.086296287067615,2.022674792086512,55.72258457215724,9.335081476169712,343.06919021907134,138.38312855818666,0.05524206783313083,9.713664159019196,3.517116381744262,452.07580587886855,1.853663215572488,1.4235901126754187,0.15135751911078527,1.1043465445507017,0.5623709721421386,0.04708367554519096,0.09242389806212692,0.5334588832770875,221.98751850941508,18.94532982454001,11.121058111298725
6,2570.0,26.673881840765283,3.580037193765596,1.2129465239460524,2.355335926518234,57.29175984747661,8.602296238621006,233.12950700571528,53.51202574276612,0.04235657680398388,9.38865746833056,3.8366782892734714,562.6205600089221,1.9783188622007162,1.5749706711772145,0.03146761007065312,1.5018774138223083,0.7628125446590137,0.0007888033661052657,0.0015759968725717758,0.9280239600899671,222.92020146369714,16.908313968635937,8.85382052559856
7,1795.6,26.548558586752996,5.63201105121432,1.786246592710755,2.037711591812575,57.5221442057127,13.724315179957918,415.6152546496992,193.72069858463504,0.10302028777238724,10.352492637951269,4.002436557390856,514.7428920456676,1.8115030207121547,1.368504849703147,0.08802791089714684,0.9845011692250462,0.6762734094806907,0.03062947714569682,0.06061371616493565,0.5752682840463346,223.5381665527955,17.182632456586994,9.154543973956846
8,1419.3,25.30193898698806,3.4450071191720064,1.3855572599020947,2.622469093278126,54.42567168275529,7.905858183577452,217.0333376618912,116.41063991383078,0.07704643142566932,7.885955617979389,3.1877556797168176,612.2017068815178,1.8168475760587866,1.6353599620082364,0.3058132616864503,1.370047639512371,0.6575142309197154,0.031871151090480825,0.061253234659258075,0.5714979651839419,224.99084055899345,14.953986065288666,6.820218227713524
9,2008.4,26.077205351431722,4.771426206713261,1.1944143965664962,2.106784956595744,56.3857587049478,11.37523187259681,398.5019055187613,175.0659869144737,0.057218543820564335,10.66664414818436,3.553046912809964,432.72353337256993,1.813125620795442,1.390235959446368,0.081247069674059,1.0197285575387187,0.6888660444881032,0.04686213330815816,0.0928131063236057,0.5172369401766277,223.44602704918,17.525623704774723,9.337579808086108
